MAPNAME,LATITUDE,LONGITUD,ICLEVEL,CONTROL,Degree-seeking Undergraduates,Graduate Students,Tuition & Fees
Pima Medical Institute-Colorado Springs,38.914019,-104.820989,2,3,811,,15845
Paul Mitchell the School-Costa Mesa,33.695103,-117.927468,3,3,610,,20960
Tulsa Welding School-Jacksonville,30.282647,-81.560428,3,3,1671,,19977
Pennsylvania College of Health Sciences,40.060419,-76.247035,1,2,2087,218,29922
West Virginia Junior College-Bridgeport,39.284512,-80.271826,2,3,236,,14635
St Louis College of Health Careers-Fenton,38.544635,-90.470904,1,3,776,29,31210
San Joaquin Valley College-Ontario,34.068584,-117.55038,2,3,1248,,23655
Alaska Christian College,60.490459,-151.136005,2,2,117,,8494
Carrington College-Albuquerque,35.110048,-106.633361,2,3,674,,49386
NASCAR Technical Institute,35.605305,-80.855128,2,3,1639,,38500
University of the Potomac-VA Campus,38.906944,-77.216062,1,3,105,392,9990
Milan Institute-Palm Desert,33.783343,-116.353268,3,3,230,,19209
Tohono O'odham Community College,31.989869,-111.715445,2,1,1042,,932
Pacific College of Health Science-Chicago,41.886588,-87.625488,1,3,95,214,6880
Southwest Institute of Healing Arts,33.39428,-111.913584,2,3,770,,13825
InterCoast Colleges-Riverside,33.993598,-117.344752,3,3,213,,20850
University of Antelope Valley,34.683587,-118.134968,1,3,851,46,65040
Pima Medical Institute-Albuquerque West,35.181571,-106.687874,3,3,138,,14700
Brighton Center's Center for Employment Training,39.092904,-84.490096,3,2,168,,9185
California Healing Arts College,33.844718,-118.265919,3,3,352,,16860
Dallas Barber & Stylist College,32.909891,-96.737009,3,3,140,,16950
Faith International University,47.280168,-122.51687,1,2,206,230,11250
Family of Faith Christian University,35.462234,-96.901413,1,2,34,153,8030
Irene's Myomassology Institute,42.480113,-83.287169,3,3,349,,12599
Jay's Technical Institute,29.64877,-95.525281,3,3,157,,10500
NTMA Training Centers of Southern California,33.94302,-118.074231,3,2,244,,12025
P C Age-Jersey City,40.732114,-74.06691,3,3,306,,21790
PC AGE-Metropark,40.561771,-74.325692,3,3,132,,21790
Hollywood Institute,26.243429,-80.199738,3,3,312,,16462
South Florida Institute of Technology,25.780018,-80.239586,3,3,2088,,8450
Southeastern College-Charleston,32.900527,-80.027313,2,3,448,,21320
Tigi Hairdressing Academy-Colorado Springs,38.905898,-104.777572,3,3,230,,14860
Valley Grande Institute for Academic Studies,26.158256,-97.990391,3,2,300,,24451
West Coast University-Los Angeles,34.187134,-118.39941,1,3,3358,,35178
Williamson Christian College,35.95616,-86.828311,1,2,58,23,14755
Triangle Tech Inc-Sunbury,40.855276,-76.765478,2,3,128,,18615
DigiPen Institute of Technology,47.68871,-122.150603,1,3,1097,59,34900
Pierpont Community and Technical College,39.432199,-80.192304,2,1,1393,,5086
InterCoast Colleges-West Covina,34.073416,-117.89763,2,3,815,,20850
Colorado Media School,39.708979,-105.077863,3,3,181,,18295
Paul Mitchell the School-Rhode Island,41.755208,-71.459056,3,3,235,,16382
Miller-Motte College-Chattanooga,35.034287,-85.181925,2,3,982,,21040
Milan Institute-Sparks,39.524564,-119.757909,3,3,194,,14712
Altierus Career College-Norcross,33.934121,-84.155475,2,2,1203,,14798
Strayer University-Tennessee,35.077513,-89.899255,1,3,5326,537,13515
Strayer University-Pennsylvania,40.137976,-74.965749,1,3,2721,306,13515
PCI Academy-Plymouth,45.033765,-93.508453,3,3,167,,22088
Creative Images Institute of Cosmetology-South Dayton,39.627019,-84.174179,2,3,152,,19350
Brookline College-Albuquerque,35.08781,-106.68749,1,3,809,,85000
Bayamon Community College,18.398313,-66.155908,3,3,304,,7335
Hussian College-Daymar College Murfreesboro,35.815421,-86.40237,1,3,142,,22348
Empire Beauty School-Midlothian,37.43843,-77.593651,3,3,143,,18750
Empire Beauty School-Owings Mills,39.403672,-76.761993,3,3,136,,19260
Empire Beauty School-West Mifflin,40.344669,-79.946147,3,3,123,,17000
ATI College-Whittier,33.948364,-118.003687,1,3,128,,28825
Advanced College,33.915383,-118.15794,2,3,263,,31257
Baptist University of the Americas,29.34998,-98.546081,1,2,139,,6768
Beis Medrash Heichal Dovid,40.596845,-73.751633,1,2,181,20,11100
Blue Cliff Career College,30.670281,-88.114952,3,3,103,,16400
Paul Mitchell the School-Gastonia,35.255515,-81.178335,3,3,542,,17625
Auguste Escoffier School of Culinary Arts-Austin,30.326455,-97.717865,2,3,912,,31773
Culinary Institute Inc,29.823623,-95.378633,2,3,414,,15901
Escuela Hotelera de San Juan,18.417008,-66.046598,3,3,806,,14255
Orion Institute,41.556265,-83.598514,3,3,116,,14400
Moore Career College,30.367301,-91.024786,3,3,163,,19995
Industrial Technical College,18.149582,-65.828111,3,3,189,,7380
Gwinnett College-Marietta Campus,33.928592,-84.479102,2,3,405,,14830
Charlotte Christian College and Theological Seminary,35.159664,-80.737194,1,2,106,100,11125
Nightingale College,40.76528,-111.890777,1,3,2530,3,70800
Omnitech Institute,33.613691,-84.447546,3,3,224,,23999
PITC Institute,40.097592,-75.145122,2,3,620,,34100
Skinworks School of Advanced Skincare,40.724925,-111.884177,3,3,219,,14954
Southeastern College-Columbia,34.034284,-81.105042,2,3,405,,21320
Technical Learning Centers Inc,38.906679,-77.043844,3,3,276,,17499
Turning Point Beauty College,32.87795,-111.689601,3,3,240,,6350
Unitech Training Academy-Lafayette,30.182982,-92.074298,3,3,850,,15395
Mountwest Community and Technical College,38.392635,-82.458186,2,1,1693,,4692
American InterContinental University-Houston,29.728216,-95.548302,1,3,427,96,14910
University of California-Merced,37.366237,-120.424944,1,1,8697,791,13657
Remington College-North Houston Campus,29.946769,-95.424881,1,2,494,,18701
Paul Mitchell the School-Orlando,28.663679,-81.234215,3,3,408,,16900
Pima Medical Institute-Las Vegas,36.114105,-115.102238,2,3,1493,,15845
Remington College-Nashville Campus,36.152337,-86.665629,2,2,604,,17189
Miller-Motte College Platt College-OKC-Memorial,35.611128,-97.563751,3,3,172,,19735
Central Methodist University-College of Graduate and Extended Studies,39.150497,-92.685253,1,2,2337,595,6720
North-West College-Riverside,33.9145,-117.485881,2,3,875,,15945
Altierus Career College-Bissonnet,29.677415,-95.544702,2,2,1122,,14975
Arthur's Beauty College,35.109764,-92.445479,3,3,103,,15750
Spa Tech Institute-Ipswich,42.688622,-70.849391,3,3,106,,11750
Spa Tech Institute-Westboro,42.285984,-71.635686,3,3,256,,11550
Spa Tech Institute-Plymouth,41.958481,-70.704453,3,3,256,,11550
Neumont College of Computer Science,40.766096,-111.890573,1,3,617,,25995
Johnson & Wales University-Charlotte,35.233502,-80.851208,1,2,1529,5,35900
Roseman University of Health Sciences,36.073182,-115.064633,1,2,704,1025,39044
Fortis Institute-Port Saint Lucie,27.3016,-80.303751,2,3,696,,14470
Aviation Institute of Maintenance-Manassas,38.794493,-77.514594,2,3,310,,16757
Universal Technical Institute of Pennsylvania Inc,40.070513,-75.685133,2,3,1344,,47300
Kenneth Shuler School of Cosmetology-Spartanburg,34.923366,-81.972727,3,3,233,,8100
Kenneth Shuler School of Cosmetology-Columbia,33.964545,-80.942005,3,3,231,,8100
Lincoln Technical Institute-Shelton,41.271974,-73.132014,3,3,1227,,31559
Northwest Career College,36.203875,-115.255585,2,3,2545,,14129
Soma Institute-The National School of Clinical Massage Therapy,41.878063,-87.62572,3,3,608,,
Ave Maria University,26.335983,-81.438945,1,2,1230,54,24610
CALC Institute of Technology,38.927494,-90.175979,3,3,126,,13060
Sutter County Career Training Center,39.14216,-121.620372,3,3,199,,15880
Cambridge Institute of Allied Health & Technology,28.66306,-81.375722,2,3,766,,15330
Career Care Institute,34.678236,-118.15638,2,3,995,,30616
ATA Career Education,28.452699,-82.595376,2,3,460,,13480
Community Christian College,34.068664,-117.217101,2,2,789,,9750
Eastern School of Acupuncture and Traditional Medicine,40.79361,-74.19716,1,3,11,75,
Ecclesia College,36.2141,-94.236643,1,2,214,2,15950
Employment Solutions-College for Technical Education,37.982131,-84.483346,3,2,166,,11500
Estelle Medical Academy,42.059097,-87.74816,3,3,105,,9180
Evergreen Beauty and Barber College-Everett,47.909189,-122.221962,3,3,1154,,11512
Healthcare Training Institute,40.696519,-74.268253,2,3,120,,16500
Los Angeles College of Music,34.139293,-118.150113,1,3,290,,25650
Maple Springs Baptist Bible College and Seminary,38.86348,-76.942465,1,2,70,30,5320
SAE Institute of Technology-Nashville,36.15039,-86.790448,1,3,214,,33199
Southern Technical College,28.44862,-81.399661,2,3,3106,,17995
Stanbridge University,33.678879,-117.857636,1,3,2203,194,33565
Universal Career School,25.767091,-80.370117,2,3,718,,39400
Uta Mesivta of Kiryas Joel,41.333864,-74.161179,1,2,2269,,14500
Harrisburg University of Science and Technology,40.26193,-76.880261,1,2,778,4574,23900
Blue Ridge Community and Technical College,39.43529,-78.001918,2,1,1998,,4128
Daytona College,29.270088,-81.080155,1,3,329,,39100
Delta Technical College-Mississippi,34.955269,-89.99937,3,3,2734,,15255
United States University,32.7769,-117.154904,1,3,278,3255,5700
Empire Beauty School-Avondale,33.463388,-112.274477,3,3,229,,19200
Empire Beauty School-Aurora,39.695935,-104.792572,3,3,113,,19350
AmeriTech College-Draper,40.527932,-111.892792,1,3,2438,182,12999
San Joaquin Valley College-Modesto,37.717403,-121.092991,2,3,701,,18526
Miller-Motte College Platt College-Moore,35.339154,-97.478449,3,3,200,,19735
Eagle Gate College-Layton,41.073374,-111.973885,1,3,305,,17112
SAE Expression College,37.847631,-122.2954,1,3,252,,25672
Unitech Training Academy-West Monroe,32.506463,-92.129419,3,3,501,,15395
New River Community and Technical College,37.76767,-81.136085,2,1,1204,,4590
The College of Health Care Professions-Southwest Houston,29.701897,-95.517146,2,3,1045,,17300
United Education Institute-Chula Vista,32.608605,-117.065355,3,3,2128,,19900
United Education Institute-West Covina,34.075984,-117.90946,3,3,1766,,19900
Georgia Gwinnett College,33.979409,-84.00459,1,1,13315,,4948
Tucson College of Beauty,32.278944,-110.996047,3,3,188,,7800
California Career College,34.197566,-118.601794,2,3,183,,67000
Palace Beauty College,34.044739,-118.309491,3,3,434,,4875
National Polytechnic College,33.860528,-118.143809,2,3,280,,34767
American Career College-Ontario,34.068204,-117.583814,2,3,2290,,37019
Asher College,38.587784,-121.415767,2,3,1135,,27830
American Institute of Massage Therapy,33.71488,-117.848291,3,3,104,,7665
Blake Austin College,38.378548,-121.945606,3,3,471,,35250
Aviator College of Aeronautical Science and Technology,27.48718,-80.367303,2,3,487,,29450
CDA Technical Institute,30.392267,-81.646792,3,3,413,,24199
American Institute of Beauty,27.915072,-82.749094,3,3,491,,8880
North Florida Cosmetology Institute,30.476972,-84.294583,3,3,233,,7200
Florida Academy of Health & Beauty,26.16627,-80.181569,3,3,109,,12900
ATA College,38.223667,-85.563365,2,3,572,,13120
SUM Bible College and Theological Seminary,38.620833,-121.054758,1,2,438,209,10540
Compass Career College,30.476327,-90.479356,3,3,350,,9028
Hair Expressions Academy,39.061372,-77.115852,3,3,122,,17800
WellSpring School of Allied Health-Kansas City,38.963226,-94.604997,2,3,390,,16000
The Salon Professional Academy-Fargo,46.859013,-96.858729,2,3,217,,18350
Aveda Arts & Sciences Institute-New York,40.725861,-74.00497,3,3,578,,17895
MyrAngel Beauty Institute,18.188811,-65.961757,3,3,182,,9795
Texas Health School,29.783709,-95.586269,3,3,247,,27895
Paul Mitchell the School-Logan,41.756122,-111.831152,3,3,237,,14640
Careers Unlimited,40.275775,-111.731006,1,3,179,,
Mountainland Technical College,40.419941,-111.886031,3,1,3516,,2525
Eastern International College-Belleville,40.789635,-74.152439,1,3,356,,17785
San Joaquin Valley College-Rancho Cordova,38.595187,-121.28191,2,3,272,,49525
Broken Arrow Beauty College,36.060431,-95.852816,3,3,119,,16280
Universal Technical Institute of Northern California Inc,38.64575,-121.529503,2,3,1376,,39300
West Hills College-Lemoore,36.292431,-119.823866,2,1,4751,,1380
Stautzenberger College-Brecksville,41.288862,-81.645056,2,3,568,,16699
Stone Academy-East Hartford,41.779013,-72.606686,2,3,860,,30625
Unitech Training Academy-Houma,29.633202,-90.75482,3,3,389,,15395
Rasmussen University-Illinois,42.267628,-88.998854,1,3,4164,56,13883
Educational Technical College-Recinto de Coamo,18.080656,-66.358512,3,3,119,,
Automotive Training Center-Warminster,40.200656,-75.075375,2,3,415,,43800
Empire Beauty School-Milwaukee,42.94256,-87.950452,3,3,257,,16632
Triangle Tech Inc-Bethlehem,40.65445,-75.428281,2,3,236,,18500
Milan Institute-Clovis,36.810625,-119.725573,3,3,768,,11205
Strayer University-Florida,27.997442,-82.35991,1,3,2514,476,13515
Pima Medical Institute-Renton,47.469017,-122.211383,2,3,1199,,16589
CBT Technology Institute-Main Campus,25.769052,-80.329161,2,3,283,,13152
CBT Technology Institute-Hialeah,25.867003,-80.302213,2,3,320,,13152
The College of Health Care Professions-San Antonio,29.488876,-98.576627,2,3,818,,17300
Brittany Beauty Academy,40.860976,-73.897121,3,3,299,,9410
Lincoln Technical Institute-Whitestone,40.784113,-73.82885,3,3,913,,33556
Huntsville Bible College,34.750363,-86.594888,1,2,105,35,4730
Beaumont Adult School,33.951365,-116.964728,3,1,102,,21852
Gnomon,34.089501,-118.329083,1,3,292,,28155
Coachella Valley Beauty College,33.708193,-116.278254,3,3,105,,15108
Valley College of Medical Careers,34.221839,-118.606731,2,3,146,,14550
Academy Di Capelli-School of Cosmetology,41.490402,-72.806335,3,3,313,,18930
Delaware Learning Institute of Cosmetology,38.541187,-75.256051,3,3,117,,18000
Palm Beach Academy of Health & Beauty,26.803621,-80.074979,3,3,248,,14180
Taylor College,29.039971,-82.062418,2,3,389,,12117
Pensacola School of Massage Therapy & Health Careers,30.494755,-87.195529,3,3,128,,12230
Denmark College,41.469921,-87.357915,3,3,264,,19500
Louisiana Culinary Institute,30.409979,-91.066085,2,3,125,,14575
Bais Medrash Toras Chesed,40.099704,-74.21127,1,2,145,,7200
Ace Institute of Technology,40.753658,-73.993385,2,3,319,,11850
New Age Training,40.748345,-73.991591,3,3,898,,14580
Dayton School of Medical Massage,39.682932,-84.168901,3,3,900,,17670
Northcoast Medical Training Academy,41.152861,-81.328959,3,3,182,,15879
ATA College,36.098554,-95.856621,2,3,213,,13120
Visible Music College,35.144586,-90.049381,1,2,401,28,20000
CCI Training Center-Arlington,32.755006,-97.101289,3,3,310,,13980
Southeast Texas Career Institute,30.341896,-94.169885,3,3,102,,12100
Southwest Technical College,37.664147,-113.069916,3,1,506,,3129
Milwaukee Career College,43.074192,-88.048714,2,3,330,,14470
University of the West,34.045985,-118.082964,1,2,120,131,13604
South University-Tampa,27.982269,-82.500357,1,3,944,528,18000
Milan Institute of Cosmetology-San Antonio Military,29.358241,-98.500738,3,3,255,,15406
Paul Mitchell the School-Tampa,28.06864,-82.574571,3,3,353,,16900
Paul Mitchell the School-San Diego,32.719128,-117.160838,2,3,379,,19939
Paul Mitchell the School-Michigan,42.593439,-83.028804,3,3,272,,17895
Paul Mitchell the School-Sherman Oaks,34.155811,-118.467369,3,3,466,,23001
Paul Mitchell the School-Tysons Corner,38.916957,-77.222536,3,3,250,,18750
Blue Cliff College-Houma,29.59157,-90.718451,3,3,412,,18381
Fortis College-Columbus,40.083063,-82.900188,2,3,1512,,15627
Fortis College-Cincinnati,39.283312,-84.444969,2,3,932,,15114
Blue Cliff College-Fayetteville,36.11393,-94.144491,3,3,261,,18381
Blue Cliff College-Alexandria,31.276699,-92.475371,2,3,938,,18381
Strayer University-Delaware,39.743357,-75.547914,1,3,494,55,13515
Strayer University-Alabama,33.513375,-86.80574,1,3,2216,267,13515
Brown Aveda Institute-Strongsville,41.312522,-81.826226,2,3,215,,18750
Clary Sage College,36.117058,-95.903835,3,2,701,,11819
Rasmussen University-Wisconsin,44.526244,-88.080783,1,3,1071,39,12860
Empire Beauty School-Richmond,37.634052,-77.550607,3,3,125,,18750
Empire Beauty School-North Hills,40.51987,-80.004389,3,3,114,,17000
Empire Beauty School-Concord,35.364022,-80.712059,3,3,166,,19260
Lexington Healing Arts Academy,38.013756,-84.522938,3,3,187,,
Empire Beauty School-Hooksett,43.054992,-71.44412,3,3,306,,18495
The Institute of Beauty and Wellness,43.03494,-87.906535,3,3,507,,20100
Carrington College-Stockton,37.998992,-121.323199,2,3,536,,18586
Carrington College-Citrus Heights,38.679983,-121.29421,2,3,329,,18586
Trend Barber College,29.982205,-95.435485,3,3,106,,11950
Euphoria Institute of Beauty Arts & Sciences-Summerlin,36.147552,-115.298988,3,3,1135,,11150
Arizona Culinary Institute,33.581935,-111.831237,3,3,236,,25990
Healthcare Career College,33.889719,-118.149645,2,3,1025,,15449
Coastline Beauty College,33.728821,-117.921471,3,3,365,,3600
Academy of Massage and Bodywork,39.628779,-75.666786,3,3,170,,
Academy of Career Training,28.306092,-81.439569,3,3,176,,2995
Miami Regional University,25.810667,-80.267007,1,3,1526,1669,36366
Paul Mitchell the School-Miami,25.68739,-80.313201,3,3,176,,15400
Aveda Institute-South Florida,26.070447,-80.251766,3,3,1000,,16700
Aveda Institute-Tallahassee,30.442037,-84.317892,3,3,1061,,9900
Shear Excellence Hair Academy,28.027145,-82.503396,3,3,176,,14676
MyComputerCareer.com,39.729314,-86.25478,2,3,443,,21543
Z Hair Academy,38.867002,-94.666351,3,3,249,,16500
Millennium Training Institute,42.496202,-71.12582,3,3,227,,17750
Elevate Salon Institute,42.525165,-83.164514,3,3,208,,19959
Academy of Hair Design-Springfield,37.180584,-93.261354,3,3,416,,13750
Corinth Academy of Cosmetology,34.934036,-88.520546,3,3,131,,14275
Southeastern College-Charlotte,35.152455,-80.894622,2,3,661,,21320
Yeshiva Toras Chaim,40.098692,-74.182143,1,2,244,,12250
Talmudical Seminary of Bobov,40.634485,-73.995378,1,2,423,,12200
Center for Allied Health Education,40.608783,-73.958977,2,3,566,,56475
Monroe 2 Orleans BOCES-Center for Workforce Development,43.138048,-77.751816,3,1,155,,9200
Aveda Fredric's Institute-Cincinnati,39.35541,-84.361091,3,3,598,,20250
MyComputerCareer.edu-Columbus,40.147019,-82.941874,2,3,5012,,21543
CDE Career Institute,41.033423,-75.303611,3,3,468,,11369
Instituto Educativo Premier,18.010734,-66.61498,3,3,347,,9690
Elite College of Cosmetology,35.657876,-88.409149,3,3,103,,16875
Southwest University at El Paso,31.788346,-106.413158,1,3,3255,,16000
Paul Mitchell the School-Austin,30.386375,-97.740293,3,3,313,,13000
Aveda Institute-Provo,40.236621,-111.658335,3,3,177,,17000
Dixie Technical College,37.098418,-113.591475,3,1,1186,,4335
Victoria's Academy of Cosmetology,46.206992,-119.118142,3,3,144,,18500
Paul Mitchell the School-San Antonio,29.610611,-98.465779,3,3,498,,15500
CEM College-Bayamon,18.398651,-66.155406,1,3,254,,11640
Bryant & Stratton College-Wauwatosa,43.043215,-88.050983,1,3,1931,,19520
The Art Institute of Austin,30.110905,-97.313486,1,3,329,,19354
Remington College-Houston Southeast Campus,29.52528,-95.123503,2,2,246,,18841
Remington College-Shreveport Campus,32.403166,-93.793578,1,2,541,,18000
Jenny Lea Academy of Cosmetology,36.32439,-82.354566,3,3,206,,13800
Patrick Henry College,39.138687,-77.690939,1,2,336,,28425
The Hair Academy,46.805857,-100.76032,2,3,102,,11720
Ross Medical Education Center-New Baltimore,42.677429,-82.751334,3,3,108,,15990
Ross College-Sylvania,41.714006,-83.680536,2,3,1362,,15990
Fortis Institute-Nashville,36.084542,-86.696299,2,3,753,,15804
ATA College-Cincinnati,39.29671,-84.478867,2,3,500,,13120
Elite Welding Academy LLC,39.313738,-84.468434,3,3,139,,12268
Galen College of Nursing-Cincinnati,39.283693,-84.365946,1,3,1371,,42380
Strayer University-North Carolina,36.051694,-79.882713,1,3,6378,998,13515
Strayer University-New Jersey,40.554506,-74.474974,1,3,1246,131,13515
Ohio Media School-Columbus,39.955294,-82.8554,3,3,275,,17595
Ohio Medical Career College,39.742339,-84.195816,2,3,170,,20100
The King's College,40.706677,-74.012342,1,2,446,,37690
Chamberlain University-Arizona,33.565758,-112.104601,1,3,1121,,20492
The Salon Professional Academy-Appleton,44.26019,-88.457898,2,3,128,,16500
Milan Institute of Cosmetology-Vacaville,38.370051,-121.960688,3,3,174,,10456
Milan Institute of Cosmetology-Reno,39.485964,-119.788456,3,3,384,,17751
Paul Mitchell the School-Esani,34.042224,-84.333674,3,3,440,,17850
Institute of Production and Recording,44.982063,-93.272011,1,3,179,,19845
Paul Mitchell the School-Birmingham,33.388978,-86.808018,3,3,203,,17000
Mayfield College,33.790822,-116.458827,2,3,786,,13638
Paul Mitchell the School-Pasadena,34.144765,-118.133403,3,3,446,,11600
San Francisco Institute of Esthetics & Cosmetology Inc,37.777043,-122.407083,3,3,305,,9657
Laurus College,35.2682,-120.669519,1,3,1121,,43350
Healing Hands School of Holistic Health,33.129652,-117.086211,3,3,443,,13000
Career Development Institute Inc,34.045817,-118.386067,3,3,206,,30214
Auguste Escoffier School of Culinary Arts-Boulder,39.983475,-105.250075,2,3,12793,,18585
Aspen University,39.68614,-104.939111,1,3,9420,4542,5170
Denver College of Nursing,39.75303,-104.994725,1,3,1354,24,12367
Cambridge College of Healthcare & Technology,26.438379,-80.123788,2,3,1329,,15310
Celebrity School of Beauty,25.76084,-80.333114,3,3,987,,4045
Paul Mitchell the School-Atlanta,33.781326,-84.414967,3,3,447,,16935
Paul Mitchell the School-Rexburg,43.814348,-111.803591,3,3,295,,14900
Tricoci University of Beauty Culture-Chicago NW,41.97766,-87.806767,3,3,386,,20482
Tricoci University of Beauty Culture-Glendale Heights,41.90467,-88.065213,3,3,176,,20482
Tricoci University of Beauty Culture-Peoria,40.746311,-89.601356,3,3,207,,18952
Tricoci University of Beauty Culture-Rockford,42.263898,-89.009435,3,3,326,,18907
Omega Studios' School of Applied Recording Arts & Sciences,39.06427,-77.113268,3,3,145,,33424
French Academy of Cosmetology,43.075898,-86.198004,3,3,112,,13277
Healing Arts Center,38.603239,-90.387718,3,3,188,,
Paul Mitchell the School-Springfield,37.159135,-93.31815,3,3,398,,8625
Mississippi Institute of Aesthetics Nails & Cosmetology,32.330039,-90.327649,3,3,123,,15000
Aveda Institute-Chapel Hill,35.927944,-79.026769,3,3,384,,23088
Total Image Beauty Academy,40.77578,-74.026091,3,3,502,,13752
Jersey College,40.862137,-74.057936,2,3,5023,,33082
American Institute of Medical Sciences & Education,40.56114,-74.437251,2,3,715,,32250
Casal Institute of Nevada,36.101143,-115.117387,3,3,414,,21301
Yeshiva of Machzikai Hadas,40.638194,-73.987855,1,2,457,,10100
Aveda Institute-Columbus,40.062719,-83.043021,3,3,446,,23088
Paul Mitchell the School-Cincinnati,39.291618,-84.392501,3,3,398,,15970
MediaTech Institute-Dallas,32.92427,-96.902721,2,3,321,,35200
Aveda Arts & Sciences Institute-San Antonio,29.637354,-98.452126,3,3,522,,18500
Skin Science Institute,40.564549,-111.851628,3,3,340,,14450
Fortis College-Dothan,31.243014,-85.37446,3,3,282,,15493
Fortis Institute-Pensacola,30.510415,-87.183112,2,3,1046,,14974
Fortis College-Montgomery,32.384006,-86.252163,3,3,511,,15258
Woodland Community College,38.660392,-121.73533,2,1,5218,,1124
Dorsey College-Roseville,42.527764,-82.915541,3,3,316,,22430
Fortis Institute-Birmingham,33.442921,-86.862659,2,3,955,,13655
The Chicago School of Professional Psychology at Los Angeles,34.049478,-118.257045,1,2,343,3832,12712
Studio Academy of Beauty,33.314894,-111.860316,3,3,1111,,18155
California Nurses Educational Institute,33.816672,-116.490142,3,3,207,,29550
Paul Mitchell the School-Sacramento,38.594752,-121.41594,3,3,609,,8750
Providence Christian College,34.149327,-118.141062,1,2,131,,33396
Oxford Academy of Hair Design Inc,41.397798,-73.061063,3,3,158,,19950
Medical Institute of Palm Beach,26.620478,-80.134959,3,3,441,,15300
Oliver Finley Academy of Cosmetology,43.667102,-116.281478,3,3,448,,19300
National Career College,34.22245,-118.446211,2,3,506,,14100
Aveda Institute-Chicago,41.933493,-87.645838,3,3,186,,21600
Tricoci University of Beauty Culture-Libertyville,42.28167,-87.942702,3,3,258,,20482
Tricoci University of Beauty Culture-Bridgeview,41.734829,-87.80309,3,3,503,,20482
The Temple-A Paul Mitchell Partner School,39.415249,-77.411651,3,3,275,,20765
Academy of Hair Design-Oklahoma City,35.612955,-97.557189,3,3,112,,16600
Toni & Guy Hairdressing Academy-Cranston,41.734598,-71.478386,3,3,203,,16138
South Texas Training Center,26.156604,-97.652989,3,3,310,,12400
Columbia College,38.928425,-77.249152,2,3,568,,10320
Paul Mitchell the School-Memphis,35.129595,-89.947956,3,3,342,,15000
Pima Medical Institute-East Valley,33.376378,-111.689497,2,3,754,,15225
Paul Mitchell the School-Cleveland,41.330927,-81.463033,3,3,288,,17602
Paul Mitchell the School-Columbus,40.059575,-82.938765,3,3,221,,17595
Empire Beauty School-Spring Lake Park,45.117185,-93.26237,3,3,128,,18988
MediaTech Institute-Houston,29.724809,-95.568341,2,3,139,,35200
Miller-Motte College-Raleigh,35.834569,-78.585676,2,3,506,,25240
Lamson Institute,29.481426,-98.607504,2,3,729,,15995
College of Hair Design-East Campus,40.732974,-96.596462,2,3,137,,18450
Fortis College-Salt Lake City,40.685819,-111.870502,2,3,762,,14240
Polytechnic University of Puerto Rico-Miami,25.80915,-80.328482,1,2,93,93,13200
Polytechnic University of Puerto Rico-Orlando,28.55158,-81.253943,1,2,181,36,13200
Ross Medical Education Center-Fort Wayne,41.115114,-85.14454,2,3,281,,15990
"Josef's School of Hair, Skin & Body-Fargo",46.86216,-96.83183,2,3,129,,17000
Miller-Motte College-McCann-Allentown,40.64006,-75.448981,2,3,511,,32240
Salon Success Academy-Redlands,34.062342,-117.218933,3,3,324,,20000
Strayer University-West Virginia,38.454588,-81.92619,1,3,457,25,13515
Vanguard College of Cosmetology-Baton Rouge,30.41107,-91.044491,3,3,168,,18503
San Joaquin Valley College-Hesperia,34.420693,-117.383116,2,3,616,,18526
South Texas Vocational Technical Institute-Brownsville,25.944046,-97.502052,3,3,447,,19510
Miller-Motte College-STVT-Corpus Christi,27.739649,-97.433269,3,3,516,,18040
University of Minnesota-Rochester,44.022339,-92.463471,1,1,631,,13032
Health And Style Institute,36.037762,-79.840799,2,3,1508,,14145
CBT Technology Institute-Cutler Bay,25.590468,-80.356565,2,3,115,,13152
Milan Institute-Bakersfield,35.385513,-119.023088,3,3,519,,19753
Homestead Schools,33.809096,-118.35009,1,2,279,4,34500
Carrington College-Las Vegas,36.08486,-115.118231,2,3,540,,15192
Carrington College-Reno,39.463165,-119.786947,2,3,698,,52740
InterCoast Colleges-Rancho Cordova,38.561309,-121.334243,3,3,281,,20850
Horizon University,39.894654,-85.986809,1,2,52,3,9300
Beyond 21st Century Beauty Academy,33.916443,-118.041477,3,3,237,,16884
Angeles College,34.061223,-118.29903,1,3,436,5,30010
Angeles Institute,33.875772,-118.080741,3,3,183,,31715
Paul Mitchell the School-Temecula,33.507316,-117.146674,3,3,546,,21352
International Institute of Cosmetology,41.707932,-72.661782,3,3,220,,19200
Emerald Coast Technical College,30.73209,-86.128061,3,1,266,,6625
Immokalee Technical College,26.426526,-81.425148,2,1,133,,6399
American Academy of Cosmetology,30.123757,-81.798803,3,3,238,,16150
University of Fort Lauderdale,26.147098,-80.204938,1,2,176,15,7410
Aviation Institute of Maintenance-Orlando,28.680653,-81.334196,2,3,438,,16757
Summit Salon Academy,28.051825,-82.525411,3,3,338,,15100
Summit Salon Academy-Gainesville,29.654808,-82.416921,3,3,157,,13245
Tenaj Salon Institute,28.929944,-82.028094,3,3,161,,16000
Keune Academy by 124,33.96488,-84.02253,3,3,157,,18900
Pacific Rim Christian University,21.328198,-157.888379,1,2,142,33,12380
Ambria College of Nursing,42.075628,-88.2109,1,3,302,,34200
Midwestern Career College,41.88053,-87.63739,2,3,953,,11600
