STATEFP,State,ZCTA,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr
42,PA,15698,32,65924,29528,25136,10,38633,13780,15415,22,27291,15748,38897,10,48410,29528,30099,22,17514,0,11416,3,27293,13780,18164
42,PA,15701,7,12784,3215,18228,3,9234,2452,12968,4,3550,763,31909,3,11392,3215,18705,4,1392,0,14325,1,8294,2452,13144
42,PA,15705,2,8482,2452,13229,2,8482,2452,13229,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,188,0,16980,1,8294,2452,13144
42,PA,15710,3,11392,3215,18705,1,8294,2452,13144,2,3098,763,33592,3,11392,3215,18705,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15711,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,
42,PA,15712,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15713,2,8482,2452,13229,2,8482,2452,13229,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,188,0,16980,1,8294,2452,13144
42,PA,15714,11,16217,3215,17363,4,12307,2452,13014,7,3910,763,31053,4,13838,3215,17935,7,2379,0,14037,2,10740,2452,13419
42,PA,15715,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,
42,PA,15716,9,15178,3117,18630,4,11315,2452,12890,5,3863,665,35441,4,12976,3117,19571,5,2202,0,13083,2,9811,2452,13330
42,PA,15717,16,23203,3156,16271,7,17423,2452,11399,9,5780,704,30956,5,14229,3156,20039,11,8974,0,10295,2,9811,2452,13330
42,PA,15720,4,9999,2491,14943,1,8294,2452,13144,3,1705,39,23693,2,9547,2491,14686,2,452,0,20375,1,8294,2452,13144
42,PA,15721,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15722,10,16002,3215,17494,4,12307,2452,13014,6,3695,763,32414,4,13838,3215,17935,6,2164,0,14670,2,10740,2452,13419
42,PA,15723,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15724,3,11392,3215,18705,1,8294,2452,13144,2,3098,763,33592,3,11392,3215,18705,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15725,13,20408,3117,16124,7,16333,2452,11665,6,4075,665,33994,4,12976,3117,19571,9,7432,0,10105,2,9811,2452,13330
42,PA,15727,2,9046,2452,12885,2,9046,2452,12885,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,752,0,10024,1,8294,2452,13144
42,PA,15728,5,11844,3215,18769,1,8294,2452,13144,4,3550,763,31909,3,11392,3215,18705,2,452,0,20375,1,8294,2452,13144
42,PA,15729,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15730,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
42,PA,15731,5,11502,2682,16093,3,9798,2452,12665,2,1704,230,35803,2,9752,2682,16971,3,1750,0,11200,1,8294,2452,13144
42,PA,15732,2,8482,2452,13229,2,8482,2452,13229,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,188,0,16980,1,8294,2452,13144
42,PA,15733,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,
42,PA,15734,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15736,2,8482,2452,13229,2,8482,2452,13229,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,188,0,16980,1,8294,2452,13144
42,PA,15737,7,7314,763,22499,2,3724,0,12454,5,3590,763,32920,3,5544,763,25103,4,1770,0,14342,1,2446,0,14352
42,PA,15738,3,11392,3215,18705,1,8294,2452,13144,2,3098,763,33592,3,11392,3215,18705,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15739,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15741,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15742,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15745,3,9784,2491,15103,1,8294,2452,13144,2,1490,39,26006,2,9547,2491,14686,1,237,0,31906,1,8294,2452,13144
42,PA,15746,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
