State,County,avg_bal,med_bal,avg_inc,med_inc,avg_dti,med_dti,avg_bal_label,med_bal_label,avg_inc_label,med_inc_label,avg_bal_rankNat,med_bal_rankNat,avg_inc_rankNat,med_inc_rankNat,avg_dti_rankNat,med_dti_rankNat,avg_bal_pctNat,med_bal_pctNat,avg_inc_pctNat,med_inc_pctNat,avg_dti_pctNat,med_dti_pctNat,avg_bal_rankState,med_bal_rankState,avg_inc_rankState,med_inc_rankState,avg_dti_rankState,med_dti_rankState,avg_bal_pctState,med_bal_pctState,avg_inc_pctState,med_inc_pctState,avg_dti_pctState,med_dti_pctState,pct_bal_grt,avg_bal_sh_obal,med_bal_sh_obal,pct_bal_grt_label,avg_bal_sh_obal_label,med_bal_sh_obal_label,pct_bal_grt_rankNat,avg_bal_sh_obal_rankNat,med_bal_sh_obal_rankNat,pct_bal_grt_pctNat,avg_bal_sh_obal_pctNat,med_bal_sh_obal_pctNat,pct_bal_grt_rankState,avg_bal_sh_obal_rankState,med_bal_sh_obal_rankState,pct_bal_grt_pctState,avg_bal_sh_obal_pctState,med_bal_sh_obal_pctState,avg_bal_ASIAN,med_bal_ASIAN,avg_inc_ASIAN,med_inc_ASIAN,avg_dti_ASIAN,med_dti_ASIAN,avg_bal_label_ASIAN,med_bal_label_ASIAN,avg_inc_label_ASIAN,med_inc_label_ASIAN,avg_bal_rankNat_ASIAN,med_bal_rankNat_ASIAN,avg_inc_rankNat_ASIAN,med_inc_rankNat_ASIAN,avg_dti_rankNat_ASIAN,med_dti_rankNat_ASIAN,avg_bal_pctNat_ASIAN,med_bal_pctNat_ASIAN,avg_inc_pctNat_ASIAN,med_inc_pctNat_ASIAN,avg_dti_pctNat_ASIAN,med_dti_pctNat_ASIAN,avg_bal_rankState_ASIAN,med_bal_rankState_ASIAN,avg_inc_rankState_ASIAN,med_inc_rankState_ASIAN,avg_dti_rankState_ASIAN,med_dti_rankState_ASIAN,avg_bal_pctState_ASIAN,med_bal_pctState_ASIAN,avg_inc_pctState_ASIAN,med_inc_pctState_ASIAN,avg_dti_pctState_ASIAN,med_dti_pctState_ASIAN,pct_bal_grt_ASIAN,avg_bal_sh_obal_ASIAN,med_bal_sh_obal_ASIAN,pct_bal_grt_label_ASIAN,avg_bal_sh_obal_label_ASIAN,med_bal_sh_obal_label_ASIAN,pct_bal_grt_rankNat_ASIAN,avg_bal_sh_obal_rankNat_ASIAN,med_bal_sh_obal_rankNat_ASIAN,pct_bal_grt_pctNat_ASIAN,avg_bal_sh_obal_pctNat_ASIAN,med_bal_sh_obal_pctNat_ASIAN,pct_bal_grt_rankState_ASIAN,avg_bal_sh_obal_rankState_ASIAN,med_bal_sh_obal_rankState_ASIAN,pct_bal_grt_pctState_ASIAN,avg_bal_sh_obal_pctState_ASIAN,med_bal_sh_obal_pctState_ASIAN,avg_bal_BLACK,med_bal_BLACK,avg_inc_BLACK,med_inc_BLACK,avg_dti_BLACK,med_dti_BLACK,avg_bal_label_BLACK,med_bal_label_BLACK,avg_inc_label_BLACK,med_inc_label_BLACK,avg_bal_rankNat_BLACK,med_bal_rankNat_BLACK,avg_inc_rankNat_BLACK,med_inc_rankNat_BLACK,avg_dti_rankNat_BLACK,med_dti_rankNat_BLACK,avg_bal_pctNat_BLACK,med_bal_pctNat_BLACK,avg_inc_pctNat_BLACK,med_inc_pctNat_BLACK,avg_dti_pctNat_BLACK,med_dti_pctNat_BLACK,avg_bal_rankState_BLACK,med_bal_rankState_BLACK,avg_inc_rankState_BLACK,med_inc_rankState_BLACK,avg_dti_rankState_BLACK,med_dti_rankState_BLACK,avg_bal_pctState_BLACK,med_bal_pctState_BLACK,avg_inc_pctState_BLACK,med_inc_pctState_BLACK,avg_dti_pctState_BLACK,med_dti_pctState_BLACK,pct_bal_grt_BLACK,avg_bal_sh_obal_BLACK,med_bal_sh_obal_BLACK,pct_bal_grt_label_BLACK,avg_bal_sh_obal_label_BLACK,med_bal_sh_obal_label_BLACK,pct_bal_grt_rankNat_BLACK,avg_bal_sh_obal_rankNat_BLACK,med_bal_sh_obal_rankNat_BLACK,pct_bal_grt_pctNat_BLACK,avg_bal_sh_obal_pctNat_BLACK,med_bal_sh_obal_pctNat_BLACK,pct_bal_grt_rankState_BLACK,avg_bal_sh_obal_rankState_BLACK,med_bal_sh_obal_rankState_BLACK,pct_bal_grt_pctState_BLACK,avg_bal_sh_obal_pctState_BLACK,med_bal_sh_obal_pctState_BLACK,avg_bal_LATINO,med_bal_LATINO,avg_inc_LATINO,med_inc_LATINO,avg_dti_LATINO,med_dti_LATINO,avg_bal_label_LATINO,med_bal_label_LATINO,avg_inc_label_LATINO,med_inc_label_LATINO,avg_bal_rankNat_LATINO,med_bal_rankNat_LATINO,avg_inc_rankNat_LATINO,med_inc_rankNat_LATINO,avg_dti_rankNat_LATINO,med_dti_rankNat_LATINO,avg_bal_pctNat_LATINO,med_bal_pctNat_LATINO,avg_inc_pctNat_LATINO,med_inc_pctNat_LATINO,avg_dti_pctNat_LATINO,med_dti_pctNat_LATINO,avg_bal_rankState_LATINO,med_bal_rankState_LATINO,avg_inc_rankState_LATINO,med_inc_rankState_LATINO,avg_dti_rankState_LATINO,med_dti_rankState_LATINO,avg_bal_pctState_LATINO,med_bal_pctState_LATINO,avg_inc_pctState_LATINO,med_inc_pctState_LATINO,avg_dti_pctState_LATINO,med_dti_pctState_LATINO,pct_bal_grt_LATINO,avg_bal_sh_obal_LATINO,med_bal_sh_obal_LATINO,pct_bal_grt_label_LATINO,avg_bal_sh_obal_label_LATINO,med_bal_sh_obal_label_LATINO,pct_bal_grt_rankNat_LATINO,avg_bal_sh_obal_rankNat_LATINO,med_bal_sh_obal_rankNat_LATINO,pct_bal_grt_pctNat_LATINO,avg_bal_sh_obal_pctNat_LATINO,med_bal_sh_obal_pctNat_LATINO,pct_bal_grt_rankState_LATINO,avg_bal_sh_obal_rankState_LATINO,med_bal_sh_obal_rankState_LATINO,pct_bal_grt_pctState_LATINO,avg_bal_sh_obal_pctState_LATINO,med_bal_sh_obal_pctState_LATINO,avg_bal_NATVAM,med_bal_NATVAM,avg_inc_NATVAM,med_inc_NATVAM,avg_dti_NATVAM,med_dti_NATVAM,avg_bal_label_NATVAM,med_bal_label_NATVAM,avg_inc_label_NATVAM,med_inc_label_NATVAM,avg_bal_rankNat_NATVAM,med_bal_rankNat_NATVAM,avg_inc_rankNat_NATVAM,med_inc_rankNat_NATVAM,avg_dti_rankNat_NATVAM,med_dti_rankNat_NATVAM,avg_bal_pctNat_NATVAM,med_bal_pctNat_NATVAM,avg_inc_pctNat_NATVAM,med_inc_pctNat_NATVAM,avg_dti_pctNat_NATVAM,med_dti_pctNat_NATVAM,avg_bal_rankState_NATVAM,med_bal_rankState_NATVAM,avg_inc_rankState_NATVAM,med_inc_rankState_NATVAM,avg_dti_rankState_NATVAM,med_dti_rankState_NATVAM,avg_bal_pctState_NATVAM,med_bal_pctState_NATVAM,avg_inc_pctState_NATVAM,med_inc_pctState_NATVAM,avg_dti_pctState_NATVAM,med_dti_pctState_NATVAM,pct_bal_grt_NATVAM,avg_bal_sh_obal_NATVAM,med_bal_sh_obal_NATVAM,pct_bal_grt_label_NATVAM,avg_bal_sh_obal_label_NATVAM,med_bal_sh_obal_label_NATVAM,pct_bal_grt_rankNat_NATVAM,avg_bal_sh_obal_rankNat_NATVAM,med_bal_sh_obal_rankNat_NATVAM,pct_bal_grt_pctNat_NATVAM,avg_bal_sh_obal_pctNat_NATVAM,med_bal_sh_obal_pctNat_NATVAM,pct_bal_grt_rankState_NATVAM,avg_bal_sh_obal_rankState_NATVAM,med_bal_sh_obal_rankState_NATVAM,pct_bal_grt_pctState_NATVAM,avg_bal_sh_obal_pctState_NATVAM,med_bal_sh_obal_pctState_NATVAM,avg_bal_WHITE,med_bal_WHITE,avg_inc_WHITE,med_inc_WHITE,avg_dti_WHITE,med_dti_WHITE,avg_bal_label_WHITE,med_bal_label_WHITE,avg_inc_label_WHITE,med_inc_label_WHITE,avg_bal_rankNat_WHITE,med_bal_rankNat_WHITE,avg_inc_rankNat_WHITE,med_inc_rankNat_WHITE,avg_dti_rankNat_WHITE,med_dti_rankNat_WHITE,avg_bal_pctNat_WHITE,med_bal_pctNat_WHITE,avg_inc_pctNat_WHITE,med_inc_pctNat_WHITE,avg_dti_pctNat_WHITE,med_dti_pctNat_WHITE,avg_bal_rankState_WHITE,med_bal_rankState_WHITE,avg_inc_rankState_WHITE,med_inc_rankState_WHITE,avg_dti_rankState_WHITE,med_dti_rankState_WHITE,avg_bal_pctState_WHITE,med_bal_pctState_WHITE,avg_inc_pctState_WHITE,med_inc_pctState_WHITE,avg_dti_pctState_WHITE,med_dti_pctState_WHITE,pct_bal_grt_WHITE,avg_bal_sh_obal_WHITE,med_bal_sh_obal_WHITE,pct_bal_grt_label_WHITE,avg_bal_sh_obal_label_WHITE,med_bal_sh_obal_label_WHITE,pct_bal_grt_rankNat_WHITE,avg_bal_sh_obal_rankNat_WHITE,med_bal_sh_obal_rankNat_WHITE,pct_bal_grt_pctNat_WHITE,avg_bal_sh_obal_pctNat_WHITE,med_bal_sh_obal_pctNat_WHITE,pct_bal_grt_rankState_WHITE,avg_bal_sh_obal_rankState_WHITE,med_bal_sh_obal_rankState_WHITE,pct_bal_grt_pctState_WHITE,avg_bal_sh_obal_pctState_WHITE,med_bal_sh_obal_pctState_WHITE
TN,47045,21438.665945946,13403.33,30290.1019732093,31750,0.720392327297634,0.409197546057846,"$21,439","$13,403","$30,290","$31,750",2050,1836,1105,848,2230,2237,25th,32nd,59th,69th,18th,18th,67,59,20,12,81,79,26th,35th,78th,87th,11th,13th,0.597173144876325,1.04766714285714,1.0338,59.73%,104.72%,103.40%,1168,902,1157,59th,68th,59th,47,30,41,50th,68th,56th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21438.665945946,13403.33,30290.1019732093,31750,0.720392327297634,0.409197546057846,"$21,439","$13,403","$30,290","$31,750",1948,1789,1177,925,2023,2032,23rd,29th,53rd,63rd,20th,20th,66,59,21,14,81,79,27th,35th,77th,85th,11th,13th,0.597173144876325,1.04766714285714,1.0338,59.73%,104.72%,103.4%,975,733,976,63rd,72nd,63rd,44,28,40,53rd,70th,57th
TN,47047,35324.7435227273,21668.545,31997.7688436396,32802.8527023301,1.1198629469223,0.727231105043753,"$35,325","$21,669","$31,998","$32,803",354,303,816,689,686,432,87th,88th,70th,74th,74th,84th,10,7,14,8,33,15,90th,93rd,85th,92nd,64th,84th,0.637096774193548,1.04162348066298,1.05445,63.69%,104.17%,105.49%,819,1003,718,71st,64th,74th,31,36,23,67th,61st,76th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.99236,1.0692,59.95%,99.22%,106.92%,520,551,353,11th,5th,39th,12,15,9,26th,6th,46th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36027.3563529412,22404.47,32256.5018616504,32802.8527023301,1.13732797542439,0.764270383139902,"$36,027","$22,404","$32,257","$32,803",338,259,845,769,480,261,86th,89th,66th,69th,81st,89th,10,7,14,10,28,12,90th,93rd,85th,90th,70th,87th,0.637602179836512,1.04231344537815,1.0543,63.80%,104.28%,105.38%,633,813,578,76th,69th,78th,27,33,22,71st,65th,77th
TN,47049,19383.921,13115.835,21279.1630431433,21609.5425465189,0.969984375246803,0.593597137062797,"$19,384","$13,116","$21,279","$21,610",2289,1900,2491,2419,1189,990,16th,30th,8th,11th,56th,63rd,80,62,81,77,45,40,12th,32nd,11th,15th,51st,56th,0.615384615384615,0.9934375,1.0397,61.49%,99.33%,103.95%,988,1787,1009,65th,37th,64th,38,73,36,59th,21st,61st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19383.921,13115.835,21279.1630431433,21609.5425465189,0.969984375246803,0.593597137062797,"$19,384","$13,116","$21,279","$21,610",2156,1841,2442,2398,1007,815,15th,27th,4th,6th,60th,68th,80,62,81,77,44,38,12th,32nd,11th,15th,52nd,58th,0.615384615384615,0.9934375,1.0397,61.49%,99.33%,103.95%,804,1590,845,70th,41st,68th,37,72,34,60th,22nd,64th
TN,47051,20625.7003174603,9455.78,26774.8978201411,27234.8827397173,0.764882501127051,0.352670830759016,"$20,626","$9,456","$26,775","$27,235",2156,2482,1725,1614,2070,2488,21st,9th,36th,41st,24th,9th,75,82,31,28,78,88,17th,10th,66th,70th,14th,3rd,0.461904761904762,0.95081875,1,46.20%,95.04%,99.99%,2302,2315,2317,19th,19th,19th,90,88,88,3rd,5th,4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20625.7003174603,9455.78,26774.8978201411,27234.8827397173,0.764882501127051,0.352670830759016,"$20,626","$9,456","$26,775","$27,235",2028,2346,1783,1671,1865,2287,20th,8th,30th,34th,26th,10th,73,82,31,28,77,88,20th,10th,66th,70th,15th,3rd,0.461904761904762,0.95081875,1,46.2%,95.04%,99.99%,2128,2134,2140,21st,21st,20th,90,88,88,3rd,5th,4th
TN,47053,24641.1148598131,11958.22,25702.7106236805,24776.0555726601,0.979388514214964,0.470721697239207,"$24,641","$11,958","$25,703","$24,776",1659,2129,1921,2029,1155,1837,39th,22nd,29th,25th,57th,32nd,49,72,42,53,44,67,46th,21st,54th,42nd,52nd,26th,0.573446327683616,0.99479011299435,1.02375,57.31%,99.44%,102.41%,1377,1768,1434,51st,38th,49th,58,71,58,38th,23rd,38th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15851.8728571429,9560.84,20202,20202,0.784668491097062,0.473262053262053,"$15,852","$9,561","$20,202","$20,202",513,509,369,360,505,492,7th,8th,33rd,35th,9th,11th,14,13,9,8,13,13,7th,14th,42nd,50th,14th,14th,0.5,1.01605,1.00575,50.05%,101.64%,100.54%,560,523,557,4th,10th,4th,15,12,15,6th,26th,6th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25256.3618,12625.38,26087.7603673382,25109.8465115522,0.993018915833217,0.463018552435916,"$25,256","$12,625","$26,088","$25,110",1502,1928,1909,2027,928,1692,41st,24th,25th,20th,63rd,33rd,45,66,39,51,41,70,51st,27th,57th,44th,55th,23rd,0.577844311377246,0.993517065868263,1.02615,57.75%,99.33%,102.63%,1141,1587,1159,57th,41st,57th,53,71,51,43rd,23rd,45th
TN,47055,21848.8188679245,10701.27,27693.7403163404,29125,0.814721146444694,0.367425579399142,"$21,849","$10,701","$27,694","$29,125",1990,2315,1564,1319,1868,2430,27th,15th,42nd,51st,31st,11th,65,76,25,25,71,86,28th,16th,73rd,73rd,22nd,5th,0.466257668711656,0.993998717948718,1,46.64%,99.44%,99.99%,2282,1778,2317,20th,37th,19th,88,72,88,5th,22nd,4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21848.8188679245,10701.27,27693.7403163404,29125,0.814721146444694,0.367425579399142,"$21,849","$10,701","$27,694","$29,125",1898,2199,1622,1397,1660,2225,25th,13th,36th,45th,34th,12th,64,76,26,26,69,86,30th,16th,72nd,72nd,24th,5th,0.466257668711656,0.993998717948718,1,46.64%,99.44%,99.99%,2099,1579,2140,22nd,41st,20th,88,70,88,5th,25th,4th
TN,47057,25291.4223076923,18001.325,22254.5453500634,21391.2421224053,1.14540236374088,0.832407154487117,"$25,291","$18,001","$22,255","$21,391",1562,871,2393,2438,613,243,42nd,68th,12th,10th,77th,91st,44,18,76,80,29,8,52nd,81st,16th,12th,68th,92nd,0.504672897196262,0.981961904761905,1.0084,50.49%,98.23%,100.87%,2000,1964,1915,30th,31st,33rd,83,77,80,10th,17th,14th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25291.4223076923,18001.325,22254.5453500634,21391.2421224053,1.14540236374088,0.832407154487117,"$25,291","$18,001","$22,255","$21,391",1499,875,2375,2410,465,188,41st,65th,6th,5th,81st,92nd,44,19,76,80,26,9,52nd,80th,16th,12th,72nd,91st,0.504672897196262,0.981961904761905,1.0084,50.49%,98.23%,100.87%,1802,1767,1731,33rd,34th,35th,83,76,80,10th,18th,14th
TN,47059,25421.5696551724,14293.51,22837.8988261415,22109,1.09859593189299,0.585727580214595,"$25,422","$14,294","$22,838","$22,109",1539,1658,2335,2368,766,1039,43rd,39th,14th,13th,72nd,62nd,43,48,71,74,37,41,53rd,47th,22nd,18th,60th,55th,0.554913294797688,1.02144268656716,1.0258,55.44%,102.19%,102.63%,1570,1335,1364,45th,53rd,52nd,67,57,53,28th,39th,43rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25421.5696551724,14293.51,22837.8988261415,22109,1.09859593189299,0.585727580214595,"$25,422","$14,294","$22,838","$22,109",1480,1628,2328,2356,585,860,42nd,36th,8th,7th,77th,66th,43,47,71,74,34,39,53rd,48th,22nd,18th,63rd,57th,0.554913294797688,1.02144268656716,1.0258,55.44%,102.19%,102.63%,1383,1157,1175,48th,57th,56th,67,57,53,28th,39th,43rd
TN,47061,18388.8933333333,9309.65,21605.5418165492,21332,0.834576023079574,0.454883709567087,"$18,389","$9,310","$21,606","$21,332",2386,2500,2455,2441,1781,1946,12th,8th,10th,10th,34th,28th,83,84,79,81,65,72,8th,7th,13th,11th,28th,21st,0.583333333333333,1.0233,1.0143,58.30%,102.30%,101.42%,1282,1305,1758,55th,54th,38th,52,54,74,44th,42nd,20th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18388.8933333333,9309.65,21605.5418165492,21332,0.834576023079574,0.454883709567087,"$18,389","$9,310","$21,606","$21,332",2244,2360,2425,2413,1567,1736,12th,7th,4th,5th,38th,31st,83,84,79,81,64,72,8th,7th,13th,11th,30th,21st,0.583333333333333,1.0233,1.0143,58.3%,102.3%,101.42%,1099,1128,1566,59th,58th,42nd,51,53,74,45th,43rd,20th
TN,47063,33436.2826804124,18298.37,25358.1576808209,25156,1.29948687891926,0.726787217963943,"$33,436","$18,298","$25,358","$25,156",500,816,1980,1977,391,435,81st,70th,27th,27th,85th,84th,13,17,46,50,17,16,86th,82nd,50th,45th,82nd,83rd,0.63718820861678,1.05700369515012,1.0509,63.69%,105.71%,105.05%,818,766,790,71st,73rd,72nd,30,23,25,68th,76th,73rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33436.2826804124,18298.37,25358.1576808209,25156,1.29948687891926,0.726787217963943,"$33,436","$18,298","$25,358","$25,156",535,823,2008,2018,279,327,79th,67th,21st,20th,89th,87th,14,17,47,50,18,16,85th,82nd,48th,45th,81st,83rd,0.63718820861678,1.05700369515012,1.0509,63.69%,105.71%,105.05%,635,609,626,76th,77th,76th,28,20,24,70th,79th,75th
TN,47065,33124.9708399646,20010.92,32285.7559638249,32111,1.14253353896148,0.632303197443824,"$33,125","$20,011","$32,286","$32,111",537,515,772,791,619,760,80th,81st,71st,71st,77th,72nd,14,13,13,11,30,27,85th,86th,86th,88th,67th,71st,0.6322,1.06272918026101,1.04895,63.25%,106.26%,104.94%,853,685,832,70th,76th,70th,32,20,29,66th,79th,69th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32393.01,18254.43,21488.3959059924,22371,1.58862172509779,0.826331111747148,"$32,393","$18,254","$21,488","$22,371",161,233,287,257,105,188,71st,58th,48th,53rd,81st,66th,5,7,7,7,3,6,71st,57th,57th,57th,85th,64th,0.731893265565438,1.11708103225806,1.0771,73.15%,111.76%,107.69%,320,263,306,45th,55th,47th,9,7,8,46th,60th,53rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33249.9952070393,20264.98,34130.0255389206,32788,1.0663383518885,0.610611694639067,"$33,250","$20,265","$34,130","$32,788",556,502,619,770,683,714,78th,80th,75th,69th,73rd,72nd,15,13,8,11,37,33,84th,86th,92nd,88th,60th,64th,0.613577023498695,1.05252751271494,1.042,61.38%,105.27%,104.17%,822,670,788,69th,75th,70th,39,24,30,58th,75th,68th
TN,47067,63975.3616666667,9116.71,19166.1461635688,19176,3.33641103028363,0.475422924488945,"$63,975","$9,117","$19,166","$19,176",10,2524,2604,2577,7,1811,99th,7th,4th,5th,99th,33rd,1,85,86,86,1,66,100th,6th,5th,5th,100th,27th,0.733333333333333,0.976433333333333,1.0698,73.37%,97.68%,107.03%,296,2048,414,89th,28th,85th,11,79,11,89th,15th,89th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63975.3616666667,9116.71,19166.1461635688,19176,3.33641103028363,0.475422924488945,"$63,975","$9,117","$19,166","$19,176",11,2379,2517,2507,2,1604,99th,6th,1st,1st,99th,37th,1,85,86,86,1,65,100th,6th,5th,5th,100th,28th,0.733333333333333,0.976433333333333,1.0698,73.37%,97.68%,107.03%,224,1852,326,91st,31st,87th,9,78,10,91st,16th,90th
TN,47069,29902.4561538462,19924,23626.6793030755,25278.0004289087,1.28627515074011,0.828904751381216,"$29,902","$19,924","$23,627","$25,278",907,525,2245,1959,401,246,66th,80th,17th,28th,85th,91st,24,14,62,49,18,9,74th,85th,32nd,46th,81st,91st,0.75,1.11488632478632,1.0901,75.02%,111.54%,109.01%,243,238,211,91st,91st,92nd,7,7,6,93rd,93rd,94th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26893.419,16849.44,23111.8854718379,22625,1.19987480935536,0.744726629834255,"$26,893","$16,849","$23,112","$22,625",291,284,215,242,288,256,47th,49th,61st,56th,48th,54th,9,9,5,6,10,8,42nd,42nd,71st,64th,35th,50th,0.789473684210526,1.12983040935673,1.1049,78.98%,112.97%,110.44%,174,201,110,70th,65th,81st,5,5,4,73rd,73rd,80th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39932.58,24904.04,25342.6587405343,25278.0004289087,1.57427628868927,0.985206091361521,"$39,933","$24,904","$25,343","$25,278",172,129,2010,1997,102,95,93rd,94th,21st,21st,96th,96th,5,3,48,49,6,5,95th,97th,47th,46th,94th,95th,0.646153846153846,1.07432380952381,1.0773,64.57%,107.47%,107.69%,576,424,248,78th,84th,90th,24,14,6,75th,85th,94th
TN,47071,30026.5886111111,14504.115,22909.045985095,22234,1.33240548822274,0.627622664761814,"$30,027","$14,504","$22,909","$22,234",893,1604,2327,2351,345,791,67th,41st,14th,14th,87th,71st,23,46,69,73,14,29,75th,50th,24th,20th,85th,68th,0.53072625698324,0.953803977272727,1.01485,53.02%,95.37%,101.53%,1777,2280,1738,37th,20th,39th,74,87,72,20th,6th,22nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30026.5886111111,14504.115,22909.045985095,22234,1.33240548822274,0.627622664761814,"$30,027","$14,504","$22,909","$22,234",881,1584,2321,2341,240,646,65th,37th,9th,8th,90th,74th,25,46,69,73,15,26,73rd,50th,24th,20th,84th,72nd,0.53072625698324,0.953803977272727,1.01485,53.02%,95.37%,101.53%,1581,2103,1550,41st,22nd,42nd,74,87,72,20th,6th,22nd
